Title,Plot
I Love My Wife,"Richard Burrows is a medical student with a pregnant wife, Jody, who becomes unappealing to him before and after childbirth, abstaining from sex and gaining weight. When her mother moves in with them, Richard's home life frustrates him even more. Flirtations with nurses and patients begin, with Jody catching him being unfaithful. But after he becomes a surgeon at a Los Angeles hospital, the infidelity continues. Richard meets a married model, Helene Donnelly, and begins meeting her secretly in motels. They contemplate getting divorces. Richard decides to make one last attempt to save his marriage. He evicts his mother-in-law from the premises and persuades Jody to go to a weight-loss center. When his wife returns, she is slim again and Richard is pleased, until learning that now she wants a divorce."
Shastra,"Vijay (Sunil Shetty) sole ambition is to become a collector like his father was. He is concentrating completely on his studies except for a few disturbances by Pooja (Anjali Jathar) who loves him and wants to marry him. Vijay always believed that his parents were in fact murdered and not killed in an accident, by their old faithful security officer Babu (Danny Denzongpa). Vijay starts searching for Babu, and finally when he finds him, Babu tells him that he was merely used as a pawn to cover up his parent's murder and the actual killer is roaming scot free, and only one man can lead Vijay to the killer and that is Girdhari (Lalit Tiwari) in Khandala. But before Vijay can find the truth, Girdhari is killed. Vijay and Babu start working in a casino owned by Shanti Prasad (Anupam Kher). There the local don Rana (Mohan Joshi) becomes their enemy, who is after Shanti Prasad's casino and Vijay's life. Finally when Vijay decides to leave Khandala, he comes to know of the actual murderers. Vijay loses Babu in the fight. Now, Vijay is all alone to fight with his enemies. Eventually, he managed to track down the killer of his parents."
Cheluvina Chittara,"Maadesha works as a mechanic in a garage. He is liked by an innocent school-going girl who is the daughter of a local don. Maadesha is deeply in love with her and they decide to marry. They elope. Later the gang members of the don are in search of the couple. The lovers are lured by the bride's uncle, and they are taken back to the don. The enraged don beats up Maadesha and takes out the Thali of his daughter to forcibly marry her to a person engaged earlier. After a gap of two years she traces a mentally retarded Maadesha. Later on she is made to unite with Maadesha by her husband who takes away the child."
The Last September,"Although The Last September was first published in 1929, a preface was written for this text decades later to be included in the second American edition of this novel. Concerned that readers unfamiliar with this particular chapter of Irish history would not fully comprehend the anxieties of these times,[1] Bowen takes great pains to explain the particulars of both her writing process and the political reasons for the unsettled atmosphere felt throughout the text, palpable even in its most seemingly serene moments. Of all her books, Bowen notes, The Last September is ""nearest to my heart, [and it] had a deep, unclouded, spontaneous source. Though not poetic, it brims up with what could be the stuff of poetry, the sensations of youth. It is a work of instinct rather than knowledge—to a degree, a ‘recall’ book, but there had been no such recall before.”[2] While Bowen's own beloved family home, Bowen's Court, remained untouched throughout ""The Troubled Times""[3] this preface explores the ramifications for witnesses of “Ambushes, arrests, captures and burning, reprisals and counter-reprisals”[4] as ""The British patrolled and hunted; the Irish planned, lay in wait, and struck.”[5] ""I was the child of the house from which Danielstown derives"" Bowen concludes, “nevertheless, so often in my mind's eye did I see it [Bowen’s Court] burning that the terrible last event in The Last September is more real than anything I have lived through.”[6] The Last September opens in “a moment of happiness, of perfection”[7] as Sir Richard and Lady Naylor welcome their long-awaited guests, Hugo and Francie Montmorency, to their country estate, Danielstown, in Cork, Ireland. Despite—or, in some characters’ cases, in spite of—the tensions produced by what Bowen obliquely refers to as “The Troubled Times,”[8] the Montmorencys, the Naylors, as well as the Naylors’ niece, Lois, and nephew, Laurence, attempt to live their lives in the aftermath of The Great War while coping with the occasionally conflicting dictates of their class's expectations and personal desires. Preoccupied with the concerns of social obligations which must be met even as they are enacted against a backdrop of uncertainty and national unrest, the residents of Danielstown occupy themselves with tennis parties, visits, and dances, often including the wives and officers of the British Army who have been assigned to this region. The people of Danielstown all share a particular interest in the shifting relationship between Lois and a young British officer, Gerald Lesworth, as Lois struggles to determine precisely who she is and what it is she wants out of life. Lois’s confusion regarding her future and the state of the bond she shares with Gerald is temporarily sidelined by the arrival of yet another visitor to Danielstown, a Miss Marda Norton whose connection to the Naylor family remains strong even in the face of perpetual inconvenience and Lady Naylor’s long-standing polite aversion to the younger woman. Marda’s presence is, however, as much of a blessing for Lois and Laurence as it is an annoyance for Lady Naylor and Hugo Montmorency—the latter having developed a one-sided fixation on the soon-to-be-married Marda. While Lois and Marda’s friendship deepens, readers are also made aware of escalating violence as the fragile status quo established between the British Army, the Black and Tans, and local Irish resistance is threatened by Gerald's capture of Peter Connor, the son of an Irish family friendly with the Naylors. Unbeknownst to the residents of Danielstown (with the single exception of Hugo), Lois and Marda's acquaintance with Ireland's national turmoil is expanded firsthand as they are confronted by an unknown individual while on an afternoon stroll through the countryside of County Cork. Although permitted to depart with only a trifling wound to Marda's hand and Lois's promise that they will never speak of this encounter in the ruins of the old mill, this meeting and Marda's subsequent return to England signal a shift as the novel's characters’ attention return to the various topics occupying their thoughts before her arrival. After Marda Norton’s departure, Lois’s attention is once again firmly fixed upon both Gerald and the activities organised by the British officers’ wives. But despite Lois’s determination to finally come to a firm conclusion regarding her future, her relationship with Gerald is first delayed by Lady Naylor’s machinations and then left forever unresolved by Gerald’s death—which may have been at the hands of Peter Connor’s friends. Not long after Gerald’s death Laurence, Lois, and the Montmorencys leave Sir Richard and Lady Naylor, but the Naylors have little time to enjoy their solitude at Danielstown. The Naylor family estate and the other great houses are put to the torch the following February—likely by the same men who organised the attack on Gerald—their destruction reinforcing the fact the lifestyle once enjoyed by the landed Anglo-Irish gentry has been brought to an end."
The Little Hut,"Sir Philip Ashlow (Granger), his neglected wife, Lady Susan Ashlow (Gardner) and his best friend Henry Brittingham-Brett (Niven) are shipwrecked on a desert island. Susan feels neglected and has been trying to make Philip jealous by demonstrating a romantic interest in Henry, who begins taking her seriously. Now that they are alone on the island, Philip constructs a large hut for his wife and himself and a little hut for Henry, but before long Henry is suggesting they share not only food and water but Susan as well. Opposed to this, Susan nevertheless is offended by Philip's indifferent reaction to Henry's indecent proposal. The quarrel escalates until Philip declares that, as captain of their ship, he feels entitled not only to perform marriages but to grant divorces. He awaits Susan's decision on whether the men should change huts or share and share alike. This potential ménage à trois where the two men are competing for the lady's attention is interrupted by a fourth visitor. The stranger is dressed in native garb and takes Susan captive, but is soon revealed to be Mario, the chef from their yacht, indulging a whim. The laughter from inside the hut between Susan and Mario is misinterpreted by Henry and her husband as being romantic in nature, arousing jealousy from both men. After their rescue and return to society, Henry comes to visit Susan to propose they be together. But when he finds her and Philip in domestic repose, and Susan knitting baby booties, he knows the battle for her love is lost."
The Scarlet Horseman,"Two Texas Rangers investigate the kidnapping of wives and daughters of Senators. In order to do so, one goes undercover as ""The Scarlet Horseman"", a legendary and respected Comanche figure. The villainess, Matosca, intends to use the kidnappees to force a partition of Texas."
A Better Place,"Barret Michaelson is an unwelcome newcomer in a public high school, often bullied by his new classmates. He has no friends until another misfit with a bad reputation, Ryan, saves him from a beating in the men's locker room. Ryan is a misanthropic existentialist with violent tendencies and a dark past. It is revealed that Ryan's father murdered his mother and then committed suicide in front of Ryan when he was only ten years old. The two become fast friends who spend much of their time together engaged in philosophical conversation, but their friendship comes to an abrupt halt when the two are involved in an incident with a local landowner who claims they are trespassing on his land. Ryan throws a rock at the man, causing him to fall and break his neck on a rock. The two manage to successfully make it look like an accident, but the incident forces Barret to pull away from his friendship with Ryan. This causes Ryan to become very emotional, and to purchase a black market gun. Barret soon agrees that they should put the incident behind them and continue to be friends, but Ryan becomes increasingly morose and attached to Barret. When Ryan suffers a brutal beating at the hands of the bully against whom Ryan had originally defended Barret, he is consumed by a will for revenge, and makes it clear to Barret that he intends to shoot the bully to death. Barret tries as hard as he can to dissuade Ryan, but Ryan says it's his ""destiny"" and insists that there is nothing Barret can do to stop him. As the moment of truth approaches, Ryan forces Barret at gun point to accompany him to the would-be crime scene. Ryan finds his enemy in a secluded area, smoking what is probably a joint (marijuana cigarette). Barret tries to warn him, but it is to no avail, and Ryan kills him. After the killing, Barret tries to incapacitate Ryan by hitting on the head with a rock, but it doesn't work. In a struggle, the gun goes off, claiming Ryan's life. Barret then shoots him once again, and tries to turn the gun on himself, but by that time the gun is out of bullets."
A Dog's Purpose,"In the 1950s, a feral puppy named Toby is whisked away to the dog pound and quickly euthanized, wondering if ""fun"" truly is life's purpose. His strong spirit is reborn and reincarnated as a newborn Retriever puppy in 1961. Toby leaves his cage at a puppy mill and is found by two garbage men who plan to sell him for their own profit. They leave to drink and Toby is spotted locked inside their pick-up truck by a young boy named Ethan and his mother, who rescue him from the brink of death by heatstroke. After they convince Ethan's father, the dog is allowed to stay and renamed Bailey. Bailey and Ethan bond quickly, especially over the summer when the family visits Ethan's maternal grandparents' farm, and Bailey now believes Ethan alone is his purpose. Years pass and after several attempts at advancing in his job failed, Ethan's father has become a deadbeat alcoholic, though teenage Ethan still tries to respect him – inviting him to a football game now that he has been named starting quarterback. Over the summer, Ethan goes to a fair with Bailey and meets Hannah, who he quickly begins dating, with Bailey referring to her as ""part of the pack"". Ethan and Hannah spend their summer happy together though their senior years are upcoming, but they plan to go to the same school; popular Ethan getting a football scholarship and Hannah following him on an academic one. When he goes home one night though, Ethan's father is drunk and shouting at Ethan's mother. He turns on Ethan then and when his mother tries to keep them separated, he shoves her to the ground. Ethan orders his father to leave and never come back, and becomes ""the leader of the pack"". Later, at a game watched by scouts, Ethan is offered a full 4-year scholarship to Michigan State, but that night a vindictive classmate named Todd throws a lit firecracker into Ethan's house as a prank, which unintentionally results in a house fire. Bailey alerts Ethan, who goes to save his mother. Unable to get out of the door, they head out through his mother's bedroom window upstair. Ethan first lowers her with her sheets to the neighbors below, then Bailey, however he drops his rope and is left with no other way to exit but to jump. But when Ethan jumps out of the window, Ethan badly fractures his leg, ending his dreams of an athletic scholarship. Bailey attacks Todd, who is apprehended and arrested by the police when firecrackers fall out of his pocket. Now, Ethan must go to an agricultural school where he will learn to take over his grandparents' farm. Falling into depression, self-pity and bitterness, Ethan grudgingly breaks off his romance with Hannah before leaving for college. Sometime afterwards, an aged Bailey slowly expires at the veterinarian's office after sharing an eleventh-hour teary goodbye with Ethan. Bailey reincarnates into another dog life, a female German Shepherd police dog named Ellie, sometime in the late 1970s/early 1980s, while possessing full memories and experiences of his past lives. Ellie is partnered with a widowed officer named Carlos from the Chicago Police Department, and works hard at ""seeking"" and ""finding"", now seeing the job as life's purpose. The two form a close relationship which ends after Ellie jumps into a rushing river and saves a kidnapped girl from drowning, and is then fatally shot during a struggle with the armed kidnapper who was a moment away from killing an unsuspecting Carlos. Reborn again in the mid-1980s as a Pembroke Welsh Corgi, he forms a bond with an Atlanta college student named Maya who names him Tino. Maya is lonely, which Tino, having bonded closely with the girl, realizes, and makes his purpose to find her some happiness. She starts a relationship with another classmate named Al who she begins seeing after Tino falls for Al's dog, a black and white Landseer named Roxie, and allows her to open up to him. Maya and Al marry and have 3 children who all love the Corgi. In love with Roxie (though she does not seem to reciprocate the romance), Tino is permanently heartbroken when one day she does not return from the vet. As he lies dying of old age in the late 1990s, Tino thanks Maya for giving him one of his best lives. Bailey is again reborn and reincarnated, this time, as a St. Bernard-Australian Shepherd mix, sometime during the next decade, only to be taken in by an abusive and neglectful urban couple who name him Waffles. Waffles is eventually dumped in an abandoned lot and reluctantly sets off in search of a new life. Walking past a dog park and remembering how long it had been since he played, Waffles meets a dog and her human who hold a familiar scent to him, though he knows neither of them. He gradually makes his way to the country area where he spent summers as Bailey without even realizing at first where he is headed. He joyfully reunites with his old master Ethan, who is now somewhere in his 50s, living a lonely life and apparently broken in spirit at his grandparents' old farm, which he now owns and runs. Ethan, of course, initially has no idea who this wandering dog really is and hands him over to the local animal shelter. But he soon has a change of heart and reclaims him, naming him Buddy. Buddy, sensing that he has finally found the true purpose of life that has long evaded him, finds a way to reunite Ethan with a widowed Hannah, and they eventually get married. Buddy finally convinces Ethan that he is his beloved childhood pet by performing some tricks and responding to key phrases that were known only to the two of them all those many, many long years ago. The dog in voiceover tells the viewer that life is about having fun; saving others; not getting caught in the past or regrets; finding someone to be with; and living for today."
Appleseed,"Deunan Knute, a young soldier and one of the Global War's last survivors, is rescued by Hitomi, a Second Generation Bioroid. Knute's escape attempt is stopped by her former lover Briareos Hecatonchires, now a cyborg. She realizes that the war had ended and she is in a Utopian city called Olympus. Its population is half-human and half-clone, a genetically-engineered species called Bioroids. Olympus is governed by three factions: Prime Minister Athena Areios; General Edward Uranus III, head of the Olympus Army; and a Council of Elders. Everything in the city is observed by an artificial intelligence named Gaia from a building called Tartaros. While there, Deunan joins the counter-terrorism organization ESWAT. The Bioroids were created from the DNA of Deunan's father, Carl, making the Second Generation Bioroids her brothers and sisters. However, they have a much shorter lifespan than humans due to suppressed reproductive capabilities. The Bioroid's life extension facilities are destroyed by a secret faction of the Regular Army in a terrorist attack against the Bioroids. However, the Appleseed data, which contains information on restoring the Bioroids reproduction capabilities, still exists. Olympus is plagued by conflicting factions. Along with a strike force, Deunan and Briareos head to the building where the Bioroids were originally created. She activates a holographic recording showing the location of the Appleseed data. Dr. Gilliam Knute, who created the Bioroids, entrusted Appleseed to Deunan, but was inadvertently killed by a soldier. After mourning the death, Leyton turns against his men. They then get cornered by the Regular Army. Deunan discovers from anti-Bioroid terrorist Colonel Hades that Briareos had intentionally allowed his Landmate, a large exoskeleton-like battlesuit, to escape. Kudoh then sacrifices himself to get Deunan and Briareos out of harm's way and escape to the rooftop. Uranus attempts to convince Deunan that Bioroids seek to control humanity, and he wants to destroy Appleseed and the D-Tank containing the Bioroid reproductive activation mechanism. Briareos tells Uranus that the Elders manipulated the Army into wanting to destroy the D-Tank, but Athena is trying to prevent them from doing so and protect humanity. Hades, who resents Carl, wounds Briareos. She and Briareos flee into the sea, killing Hades in the process. Despite Deunan's pleas not to leave Briareos behind, he persuades her to search for the Elders. Mechanic Yoshitsune Miyamoto arrives in his Landmate and begins repairing Briareos after receiving an SOS from him. Deunan flies back to Olympus in Yoshitsune's Landmate and uses the Appleseed data to fully restore Bioroid reproductive functions. As Deunan encounters the Council of Elders, they reveal their involvement in Gilliam's death and also plan to use the D-tank virus to sterilize humans, which will leave the Bioroids the new rulers of Earth. They needed the Appleseed data to keep the Bioroids alive, but Gilliam hid the data so they could not move forward with their plan. Athena, stepping in to stop them and announcing that Uranus has surrendered, tells Deunan that the Elders had been acting on their own and had shut Gaia down once they realized humanity had softened their stance against Bioroids. The Elders state that they will soon die since Gaia kept them alive, but that they were ready to sacrifice themselves. They then activate the city's mobile fortress defenses, which begin marching towards Tartaros. Athena states that D-tank's security system is nearly impenetrable, but a shot from the fortresses' main cannons might puncture the tank, releasing the virus. ESWAT begins mobilizing, but suffer heavy casualties due to the fortresses' heavy weaponry. Briareos arrives and asks Deunan to join the battle. Despite the Elders' objections, she goes with him to the seventh tower, and attempts to enter the password to shut the defenses down, but a malfunction makes it difficult. The final password letter appears by itself, and Deunan secures the D-Tank, shutting down the towers. She reveals that the sins of humanity will probably get worse, but that there is always the chance that future generations will learn from these mistakes; she vows to keep fighting for the children."
Silent Fall,"Tim Warden, a boy with autism, has supposedly witnessed his parents' double murder. Jake Rainer, a former child psychiatrist turned therapist, is called on to probe the child's mind in order to solve the case. The psychological drama is provided by the fact that not even Jake can entice Tim to communicate what he has or has not seen regarding the crime. Tim's sister, Sylvie, is protective of him. She eventually warms to Jake's efforts, but is concerned when she learns he was implicated in the suicide of another young child who was under his care. Jake gradually befriends Tim. At first, Jake thinks that Tim is trying to communicate by cutting up playing cards, but Sylvie reveals that Tim is good at mimicking voices. Jake is able to trigger Tim's memory so that Tim mimics the voices he heard on the night of the murder by using the trigger phrase ""God Damn,"" which were the first words Tim heard from the murder. He attempts to piece together the chronology of the murder, suspecting that Tim interrupted a fight between his parents and an intruder. Sheriff Mitch Rivers threatens to use drugs to get Tim to talk about the murder and Dr. Rene Harlinger successfully hypnotizes Tim into breaking down a locked door. The police chief, seeing this as proof of Tim's strength, concludes that Tim was the murderer, after finding photographs showing that Tim's father was molesting him. That night, Sylvie plans to take Tim away and attempts to convince Jake to run away with them. She fails, and instead paralyzes Jake and throws him into an icy lake to drown him. Tim mimics the police chief's voice over the phone to lure Sylvie to the police station and pulls Jake out of the lake while she is away. Sylvie returns and Jake reveals that he has solved the mystery by examining Tim's cut up playing cards. It was actually Sylvie who killed her parents because her father had raped her repeatedly and was trying to do the same to Tim, and her mother was aware of the abuse and stayed silent the entire time. Sylvie tries to kill Jake again, but is stopped by Tim who speaks with his own voice for the first time. The film closes with Jake, his wife Karen, and Tim going out for trick-or-treating on Halloween. Tim has gradually improved and now can speak in his own voice as well as smile. Jake's conversation with his wife reveals that Sylvie will be moved to a hospital with minimum security in the near future."
Your Highness,"Thadeous and Fabious are sons of King Tallious in the Kingdom of Mourne. They are warriors: Fabious is dashing and skilled and Thadeous is lazy and ineffectual. While celebrating his latest victory over the evil sorcerer, Leezar, who has been ravaging Tallious's kingdom, Fabious introduces the virgin Belladonna whom he has freed from a tower and wishes to marry. Though his brother makes him the best man, Thadeous skips the wedding after overhearing Fabious' Knights Elite, led by Boremont, talk about him negatively. The wedding is then crashed by Leezar, who reveals himself to be the one who placed Belladonna in the tower. Leezar re-kidnaps her and flees. Returning to the castle with his servant Courtney, Thadeous is given an ultimatum: join Fabious on his quest to rescue Belladonna or be banished from Mourne. Visiting the Great Wize Wizard, Thadeous and Fabious learn that Leezar is attempting to fulfill a prophecy of a warlock having sex with a maiden when the two moons converge, impregnating her with a dragon that will allow him to take over King Tallious' kingdom. To destroy Leezar, they are given a magic compass that will lead them to the Blade of Unicorn, located within a labyrinth. On the way there, they learn Fabious's eunuch slave, Julie, has been reporting to Leezar of their progress and that the Knights Elite are serving the warlock. Fabious sends his mechanical bird Simon to tell the king of the betrayal by the Knights Elite and request reinforcements. Thadeous, Fabious and Courtney are captured by nymphs under their leader, Marteetee, who imprisons them at an arena, where Fabious kills off Marteetee's finest warrior. In retaliation, Marteetee summons a hydra-like monster to kill them. The brothers are rescued by Isabel, a warrior seeking revenge for her father's murder at Marteetee's hands. Later that night, Thadeous learns that Isabel is also after Leezar for the slaughter of her brothers. The next day, the party learns too late that Isabel stole the compass from Thadeous. Fabious, finally angered by his brother's selfishness, decides to find the Blade of Unicorn alone as Thadeous and Courtney go to a tavern, where they find Isabel and retrieve the compass. But finding that his brother has been captured by Leezar's men, Thadeous wins Isabel over as they join forces, entering the labyrinth where they encounter a Minotaur. After becoming separated from the others, Thadeous retrieves the Blade of Unicorn and slays the Minotaur. Thadeous and his group make their way to Leezar's castle and free Fabious, giving him the Sword of Unicorn. As the others kill off Julie, Boremont and his men and Leezar's three witches, Fabious impales Leezar with the Blade of Unicorn, to prevent him from raping Belladonna. After their victory, Isabel leaves for another quest and the heroes return home. Fabious and Belladonna marry, while Thadeous is approached by Isabel, who reveals that she has fallen in love with him. However, for them to have sex, he must first slay the witch who has cast a spell on her, locking her in a chastity belt. Though not in the mood to go out, Isabel's suggestion convinces him to go on a new adventure."
Justin Bieber: Never Say Never,"The film follows the pop star Justin Bieber during 10 days counting down to what is considered his biggest performance, that of August 31, 2010 in Madison Square Garden, which sold out in 22 minutes. It shows footage of the performances during this period from his My World Tour. It shows excited female fans, and several instances of the ""One Less Lonely Girl"" routine of inviting a girl on stage for him to serenade and give flowers to, and of surprising random girls with free tickets to his concerts. The main people around Bieber, being like family and good friends to him, are interviewed, but Bieber himself is not. Various instances of praying together before a show are shown. The film also includes a visit Bieber made to his hometown while being in Canada for the tour. He is scolded for having damaged his voice while having fun with his old friends. Reluctantly he accepts the postponement of a performance in Syracuse. He is not allowed to speak for some days, and thus recovers enough to do the next performance, at MSG. Also included are some stories and old videos of Bieber's childhood. He was raised by his mother but also had a very special bond with his maternal step-grandfather. The latter still gets emotional about the time that Bieber and his mother moved to Atlanta."
Bartleby,"The film opens with a brief summary of Herman Melville's life; his popularity waning after he wrote ""Moby Dick"" and ""Bartleby, the Scrivener"", Melville was unable to support himself by writing and took a job as a clerk at the New York Custom House. By the time Melville died at the age of 72, hardly anyone had heard of him. While on his way to work one day, the film's narrator, the unnamed head of a public records office (hereafter referred to as the Boss), sees a forlorn-looking man standing on an overpass. The Boss's office is in a building on top of a large hill, completely inaccessible by foot, and he employs three people; the neurotic and clumsy Ernest; Rocky, who looks and acts like a stereotypical gangster; and Vivian, an eccentric, flirtatious receptionist with a large vocabulary. The Boss decides to advertise for a fourth employee, but the only person who applies for the job is the man from the overpass, the titular Bartleby. Bartleby gives vague answers to the Boss's questions during the interview, but does explain that he worked at a dead letter office for eight years until the office moved. Bartleby's off-kilter attitude unsettles the Boss, but with no other options, he hires Bartleby. Bartleby initially proves to be a model employee and a boon to the office, getting a week's worth of work done in only a few days, but when asked to help verify important documents, Bartleby refuses to do so, responding with what becomes his answer to every request and one of his only lines for the rest of the film: ""I would prefer not to."" To the Boss's dismay and irritation of the other employees, Bartleby refuses to do anything the Boss asks of him, performing his sole task of filing away documents and spending long periods of time staring at a vibrating vent above his desk. When the Boss brings a date to the office late one night to have sex with her, Bartleby walks in on them, leading the Boss to discover that he has started living there. The Boss makes an attempt to reason with Bartleby and to learn something about him; he also realizes he and the other employees have started using the word ""prefer"" in their vocabulary. Bartleby soon refuses to do any more filing, claiming that he's ""given up"", so the Boss fires Bartleby and gives him until Friday night to leave the office. When the Boss returns on Monday morning, he finds that Bartleby hasn't left, and indeed hasn't even touched the paycheck the Boss has given him. Tensions start to rise as the others wonder why Bartleby is still at the office. Realizing the threat to his reputation but emotionally unable to evict Bartleby, the Boss moves the office to another building. Before he leaves, he gives Bartleby a letter of recommendation, while a repairman removes a dead bird from the vent above Bartleby's desk, fixing the vibration. However, the new tenants soon come to ask the Boss for help getting rid of Bartleby, who still has not left and now sits on the stairs all day and sleeps in the lobby at night. The Boss insists that Bartleby is no longer his problem, but relents under the pressure. Speaking to Bartleby again, the Boss offers to help him find a job he would like, but Bartleby refuses to budge. After the Boss leaves, Bartleby is arrested by the police and released onto the streets after a night in jail. When the Boss learns of this, he goes searching for Bartleby and finds him at a homeless camp; to his own surprise, the Boss invites Bartleby to come live with him, but Bartleby declines the offer. The Boss rushes to a nearby soup kitchen and tries to convince a cook to make sure Bartleby gets fed, but the cook, unsympathetic to Bartleby's plight, refuses to help and forces the Boss to wait in a long line. By the time he returns with food, Bartleby has died from starvation, having preferred not to eat apparently since the Boss moved the office. Finding his letter of recommendation in Bartleby's coat, the Boss realizes it's a dead letter now, and gives the resigned and painful sigh, ""Ah, Bartleby. Ah, humanity."", sinking into a depression and finding his way to the overpass from the beginning of the film. A small subplot deals with Vivian becoming close to the Boss's benefactor, City Manager Frank Waxman. Before anything can come of their relationship, however, he catches her, Rocky, and Ernest making fun of Bartleby. Believing Bartleby to have some sort of mental disorder, Waxman takes the matter to the Mayor, and the Boss apparently becomes involved in a scandal. Deeply affected by Bartleby's death, the Boss resigns from his job and writes a memoir about his time with Bartleby, but the publishing agent he shows it to refuses to publish it, finding the subject matter too dreary for her tastes. The Boss flies into a rage, demanding that Bartleby's story be told, and when the agent tells him to leave, the Boss responds ""I would prefer not to!"" Rattled by this, the agent leaves. Finally realizing the impact Bartleby has had on his own life, the Boss repeats the phrase again and again as the film closes with a shot of several office buildings, all isolated on top of large hills like the Boss's old office."
Never Gone,"Su Yunjin (Liu Yifei) and Cheng Zheng (Kris Wu) meet in high school. Su Yunjin is a transfer student from a struggling family, while rich heir Cheng Zheng is the popular star student. Cheng Zheng falls in love with Su Yunjin and pursues her through college, even when they study and live in different cities. Su Yunjin is worried about the difference in their economic status, though this doesn't worry Cheng Zheng. She decides to give it a chance and the two move in together after graduation. Two years pass in bliss; however, the issue of money drives a wedge between them, as Su Yunjin refuses to take Cheng Zheng's financial help for her mother's operation, and Cheng Zheng is angered when she goes instead to her ex for help. The two break up, and Cheng Zheng moves to America to help with his family's company. After some time passes, Su Yunjin realizes she truly loves Cheng Zheng and for the first time, she is the one to seek out Cheng Zheng rather than the other way around."
Sword Stained with Royal Blood,"The story begins with the exile of a young boy who grows up to meet his destiny as a great warrior. After his father, a Han loyalist and hero, is betrayed by the Emperor and sentenced to death, Yuan Chengzhi is spirited away to the reclusive master of the Lung Yau school of martial arts. Having grown into a righteous young man of considerable martial skill, Yuan sets out on his own. He discovers the hideout of a long-dead martial arts master known as Golden Snake Xia Xueyi and lays claim to his buried martial arts manual, sword, and collection of darts. He also discovers the whereabouts of a lost treasure and instructions to deliver a portion of it to a certain woman. Cheng-chih sets out to find her in order to honor the dead man's wishes and ends up meeting a spoiled and not-so-cleverly disguised young woman posing as a man named Wen Qingqing. It's enough to fool the naive Yuan Chengzhi, who befriends Wen after she takes a liking to him. She brings him into her household, which is home to a wealthy clan of martial artists known for their mastery of the Five Element Array. Yuan's stay grows unsettling, first when jealous quarreling sparked by his presence erupts between Wen and her cousin. Things get a lot more complicated when a trio of angry martial artists storm the household and accuse Wen of theft. It turns out that they are members of Yuan's school and just as the situation threatens to turn into a full-scale battle, he intercedes in order to find a peaceful solution. As a result of his intervention, Yuan's skills draw the attention of the master of the house, who recognizes the kung fu techniques of his arch-enemy. As hidden truths about the Wen clan and their dark part are revealed through flashbacks, Yuan finds himself forced to fight their infamous Five Element Array in order to complete his quest and escape in one piece."
Getting Even,"A soldier-of-fortune, Tag Taggert, played by Edward Albert, steals some Russian nerve gas from Afghanistan, and brings it to the U.S. to be analyzed. A greedy millionaire rancher, played by Joe Don Baker, finds out about it, steals it and uses it in an extortion scheme. Audrey Landers plays the lead FBI agent-in-charge tasked with thwarting the extortion scheme."
Love in a Puff,"Since 2007, the Hong Kong government banned smoking in all indoor areas, causing smokers from neighboring buildings to gather for cigarette breaks during office hours at trash bins with ashtrays near their work premises. The regulars started sharing small talks and dirty jokes like friends at a hot pot dinner and this community became known as the ""Hot Pot Pack"". Jimmy (Yue) is an advertising executive who befriended Cherie (Yeung), a cosmetic sales girl, at a ""Hot Pot Pack"" shortly after Jimmy broke up with his girlfriend who cheated on him. Cherie's flirting with Jimmy during their cigarette breaks, through text messages and excursions at night eventually led to Cherie's break up with her live-in boyfriend. This sudden change in their relationship, including a failed one night stand at a love motel, caused them to confront the change in their relationship and consider whether they are viewing each other as love interests or just as companions during lonely nights."
Jee Aayan Nu,"Grewal (Kanwaljeet), a business tycoon of the media industry, is a Punjabi settled in Vancouver, British Columbia, Canada with his wife and daughter. Simar (Priya Gill), the elder daughter, was three years old when she was brought to Canada from her birthplace, Punjab. Living a luxurious life in Canada, both daughters are highly influenced by the local culture. Grewal, with his family, returns to Punjab after many years to attend a college function. Grewal meets Inder (Harbhajan Mann) who happens to be Grewal's childhood friend's son. Grewal asks Inder to take Simar around and show her the beauty of Punjab. While sightseeing Inder makes Simar realize how loving and good-natured Punjabis are and how it is beautifully blended with their culture. Though Simar is impressed, her mother (Navneet Nishan) is not comfortable in her own country and its lifestyle. Inder and Simar soon fall in love, and the families decide to get them married. However, at their engagement, Inder realizes that Simar's family expects Inder to settle in Canada with them after their marriage. Inder refuse to leave Punjab. Annoyed at Inder, the Grewal family returns to Canada. Time passes and soon Inder's parents, seeing his pain without Simar, insist that he should go to Canada and get his lost love back. Inder leaves and is determined to get Simar back."
